player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Reggie Jackson,jacksre01,2020,865,426,0.850257614,-2.180098087,-1.329840473,2.301768872,2.212363401,4.514132273,1.215940711,-1.384910567,-0.168969856,0.556660341,0.556660341,0,1.087036895,-1.811268344,-0.72423145,-1.481472497
Reggie Bullock,bullore01,2020,1225,585,-0.632747384,-0.108046712,-0.740794096,-1.402996953,-0.402339591,-1.805336544,-0.773856214,-0.150020662,-0.923876876,0.544196122,0.544196122,0,-0.983472994,0.291555576,-0.691917418,-0.157544287
Chris Chiozza,chiozch01,2020,329,150,-1.029150582,2.500694432,1.471543849,-1.609367477,16.29968876,14.69032129,-1.222352255,5.601355064,4.379002809,0.543063102,0.543063102,0,-0.428096645,3.264979724,2.836883079,-0.159586046
Aaron Gordon,gordoaa01,2020,3411,1656,-0.87381095,-1.050936159,-1.924747109,1.467994096,-3.833786618,-2.365792521,-0.384735739,-1.735614058,-2.120349797,0.527972003,0.527972003,0,0.014913716,-1.083855221,-1.068941505,-0.770035476
Damyean Dotson,dotsoda01,2020,1741,823,0.143916789,-1.895632588,-1.751715799,-1.617176259,1.21757873,-0.399597529,-0.152846078,-1.333155188,-1.486001266,0.527388873,0.527388873,0,-1.060648305,-2.157574507,-3.218222812,-0.645587664
Frank Ntilikina,ntilila01,2020,2159,1041,-2.718118919,0.665264222,-2.052854697,-1.442493006,0.697972472,-0.744520535,-2.564270652,0.745783189,-1.818487464,0.492423014,0.492423014,0,-2.843567495,1.281045765,-1.56252173,-0.478627255
Mike Scott,scottmi01,2020,2047,959,-0.649895134,-1.817652606,-2.46754774,1.198928727,0.679859477,1.878788205,-0.299527812,-1.445031447,-1.744559258,0.489250325,0.489250325,0,0.000540581,-1.733970974,-1.733430392,-0.558791041
Stephen Curry,curryst01,2020,256,112,4.712032389,2.74907216,7.461104549,0.779709499,-5.589392193,-4.809682693,4.375477237,1.198191077,5.573668315,0.48839293,0.48839293,0,2.916395754,0.351657358,3.268053112,2.737605717
Justise Winslow,winslju01,2020,768,352,-1.738940735,0.225481037,-1.513459697,-0.833595677,6.855360814,6.021765137,-1.685572893,1.624260724,-0.061312169,0.48430721,0.48430721,0,-0.54700325,0.560541169,0.013537919,0.305346672
Thaddeus Young,youngth01,2020,3030,1423,-2.479580844,0.857695427,-1.621885417,-3.872704371,0.28371011,-3.588994262,-2.864062624,0.768584684,-2.09547794,0.477888769,0.477888769,0,-2.870203555,1.088804276,-1.781399279,0.579061867
