key,date,ml_time,team,opp_team,ml_consensus,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_consensus,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_consensus,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20200227,11:45:17,away,New York,Philadelphia,54.0,+275,+275,+285,+255,+260,away,40.0,+7.5,+101,+7.5,-105,+7.5,-105,+7.5,-105,+7.5,-115,away,43.0,210,-105,210,-105,209.5,-105,210,-105,209.5,-110
20200227,11:45:17,home,Philadelphia,New York,46.0,-322,-305,-355,-310,-310,home,60.0,-7.5,-111,-7.5,-105,-7.5,-105,-7.5,-115,-7.5,-105,home,57.0,210,-105,210,-105,209.5,-105,210,-115,209.5,-110
20200227,11:45:17,away,Portland,Indiana,57.0,+412,+420,+445,+375,+400,away,50.0,+10,+100,+11,-128,+10,-105,+10,-115,+10,-108,away,55.0,218.5,+100,219,+103,218,-105,218.5,-115,218,-110
20200227,11:45:17,home,Indiana,Portland,43.0,-512,-475,-570,-550,-505,home,50.0,-10,-110,-11,+108,-10,-105,-10,-105,-10,-112,home,45.0,218.5,-111,219,-123,218,-105,218.5,-105,218,-110
20200227,11:45:17,away,Sacramento,Oklahoma City,40.0,+260,+295,+290,+280,+270,away,43.0,+7.5,-110,+8,-109,+7.5,-105,+8,-110,+7.5,-115,away,53.0,220.5,-105,220,-102,220,-105,221,-105,220,-109
20200227,11:45:17,home,Oklahoma City,Sacramento,60.0,-303,-325,-360,-360,-320,home,57.0,-7.5,-100,-8,-101,-7.5,-105,-8,-110,-7.5,-105,home,47.0,220.5,-105,220,-108,220,-105,221,-115,220,-111
20200227,11:45:17,away,L.A. Lakers,Golden State,46.0,-580,-615,-645,-650,-600,away,45.0,-10.5,-100,-10.5,-105,-10.5,-105,-11,-110,-10,-114,away,36.0,220,-115,220,-105,220,-105,220,-115,220,-111
20200227,11:45:17,home,Golden State,L.A. Lakers,54.0,+458,+510,+495,+425,+460,home,55.0,+10.5,-110,+10.5,-105,+10.5,-105,+11,-110,+10,-106,home,64.0,220,+105,220,-105,220,-105,220,-105,220,-109
20200228,11:45:21,away,Minnesota,Orlando,56.0,+270,+280,+300,+275,+270,away,45.0,+8,-107,+8,-105,+8,-105,+8.5,-115,+8,-113,away,49.0,233.5,-107,234,-105,234,-105,234.5,-105,234,-112
20200228,11:45:21,home,Orlando,Minnesota,44.0,-315,-310,-380,-350,-325,home,55.0,-8,-103,-8,-105,-8,-105,-8.5,-105,-8,-107,home,51.0,233.5,-103,234,-105,234,-105,234.5,-115,234,-108
20200228,11:45:21,away,Brooklyn,Atlanta,45.0,-129,-125,-135,-140,-130,away,47.0,-2,-107,-2,-105,-2.5,-105,-3,-110,-2,-112,away,56.0,236.5,-112,236.5,-105,237,-105,237,-105,237,-108
20200228,11:45:21,home,Atlanta,Brooklyn,55.0,+116,+115,+115,+120,+110,home,53.0,+2,-103,+2,-105,+2.5,-105,+3,-110,+2,-108,home,44.0,236.5,+101,236.5,-105,237,-105,237,-115,237,-112
20200228,11:45:21,away,Charlotte,Toronto,48.0,+780,+790,+815,+700,+750,away,38.0,+13.5,-102,+13.5,-105,+13.5,-105,+14,-110,+13.5,-106,away,53.0,214.5,-104,214,-105,214.5,-105,214,-115,214,-115
20200228,11:45:21,home,Toronto,Charlotte,52.0,-1115,-990,-1165,-1200,-1200,home,62.0,-13.5,-108,-13.5,-105,-13.5,-105,-14,-110,-13.5,-114,home,47.0,214.5,-106,214,-105,214.5,-105,214,-105,214,-105
20200228,11:45:21,away,Cleveland,New Orleans,57.0,+648,+650,+660,+600,+700,away,38.0,+13,-112,+13,-105,+13,-105,+13,-105,+13,-107,away,56.0,235.5,-111,235,-105,235.5,-105,235.5,-110,236,-110
20200228,11:45:21,home,New Orleans,Cleveland,43.0,-884,-825,-910,-1000,-1100,home,62.0,-13,+102,-13,-105,-13,-105,-13,-115,-13,-113,home,44.0,235.5,+101,235,-105,235.5,-105,235.5,-110,236,-110
20200228,11:45:21,away,Dallas,Miami,56.0,+122,+125,+115,+120,+120,away,49.0,+2.5,-103,+2.5,-105,+2.5,-105,+3,-115,+2.5,-110,away,59.0,228.5,+103,228.5,-105,229,-105,229.5,-105,228,-110
