key,date,ml_time,team,opp_team,ml_consensus,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_consensus,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_consensus,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20191219,11:14:43,away,Utah,Atlanta,62.0,-272,-280,-290,-280,-275,away,64.0,-6.5,-107,-7,-101,-7,-105,-7,-105,-6.5,-110,away,57.0,225,-105,225,-102,224.5,-105,224,-110,224.5,-110
20191219,11:14:43,home,Atlanta,Utah,38.0,+236,+255,+240,+230,+225,home,36.0,+6.5,-103,+7,-109,+7,-105,+7,-115,+6.5,-110,home,43.0,225,-105,225,-108,224.5,-105,224,-110,224.5,-110
20191219,11:14:43,away,L.A. Lakers,Milwaukee,61.0,+145,+155,+150,+130,+142,away,55.0,+4,-109,+4,+100,+4,-105,+3.5,-115,+3.5,-110,away,57.0,227,-104,227,-105,227.5,-105,227.5,-105,227,-110
20191219,11:14:43,home,Milwaukee,L.A. Lakers,39.0,-162,-165,-170,-150,-162,home,45.0,-4,-101,-4,-110,-4,-105,-3.5,-105,-3.5,-110,home,43.0,227,-106,227,-105,227.5,-105,227.5,-115,227,-110
20191219,11:14:43,away,Brooklyn,San Antonio,48.0,+160,+165,+165,+150,+160,away,49.0,+4,+100,+4.5,-105,+4.5,-105,+4,-110,+4.5,-110,away,58.0,219.5,-105,219.5,-107,219.5,-105,219.5,-115,219.5,-110
20191219,11:14:43,home,San Antonio,Brooklyn,52.0,-179,-175,-190,-170,-180,home,51.0,-4,-110,-4.5,-105,-4.5,-105,-4,-110,-4.5,-110,home,42.0,219.5,-105,219.5,-103,219.5,-105,219.5,-105,219.5,-110
20191219,11:14:43,away,Houston,L.A. Clippers,44.0,+183,+185,+190,+185,+186,away,44.0,+5,-102,+5.5,-108,+5.5,-105,+5.5,-105,+5,-107,away,50.0,235.5,-113,236,-105,237.5,-105,235.5,-110,235.5,-115
20191219,11:14:43,home,L.A. Clippers,Houston,56.0,-206,-200,-225,-225,-216,home,56.0,-5,-108,-5.5,-102,-5.5,-105,-5.5,-115,-5,-113,home,50.0,235.5,+102,236,-105,237.5,-105,235.5,-110,235.5,-105
20191220,11:14:47,away,Sacramento,Indiana,0.0,+189,+190,+200,+195,+190,away,54.0,+5,-103,+5,-102,+5.5,-105,+5.5,-105,+5,-102,away,100.0,209.5,+101,209.5,-102,209.5,-105,210,-110,209.5,-107
20191220,11:14:47,home,Indiana,Sacramento,100.0,-213,-210,-240,-235,-220,home,46.0,-5,-107,-5,-108,-5.5,-105,-5.5,-115,-5,-118,home,0.0,209.5,-112,209.5,-108,209.5,-105,210,-110,209.5,-113
20191220,11:14:47,away,Memphis,Cleveland,62.0,-131,-135,-145,-150,-133,away,63.0,-2.5,-102,-2.5,-105,-3,-105,-3,-115,-2.5,-105,away,48.0,222.5,-115,222.5,-105,222,-105,223,-110,223,-112
20191220,11:14:47,home,Cleveland,Memphis,38.0,+118,+125,+125,+130,+113,home,37.0,+2.5,-108,+2.5,-105,+3,-105,+3,-105,+2.5,-115,home,52.0,222.5,+105,222.5,-105,222,-105,223,-110,223,-108
20191220,11:14:47,away,Washington,Toronto,39.0,+233,+240,+230,+220,+230,away,49.0,+6.5,-104,+6.5,-101,+7,-105,+7,-115,+6.5,-105,away,48.0,229.5,-105,229.5,-108,230,-105,229.5,-110,229.5,-113
