key,date,ml_time,team,opp_team,ml_consensus,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_consensus,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_consensus,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20200117,13:03:45,away,Chicago,Philadelphia,38.0,+272,+290,+300,+285,+285,away,39.0,+8,-108,+8,-105,+8,-105,+8.5,-115,+8,-105,away,49.0,213.5,+102,213,-108,213.5,-105,213.5,-115,213.5,-107
20200117,13:03:45,home,Philadelphia,Chicago,62.0,-318,-320,-370,-370,-355,home,61.0,-8,-102,-8,-105,-8,-105,-8.5,-105,-8,-115,home,51.0,213.5,-112,213,-102,213.5,-105,213.5,-105,213.5,-113
20200117,13:03:45,away,Washington,Toronto,48.0,+432,+468,+465,+400,+430,away,40.0,+10.5,-107,+10.5,-102,+10.5,-105,+11,-110,+10.5,-113,away,57.0,231,+100,230.5,-105,230.5,-105,230.5,-110,230.5,-108
20200117,13:03:45,home,Toronto,Washington,52.0,-541,-550,-615,-600,-550,home,60.0,-10.5,-103,-10.5,-108,-10.5,-105,-11,-110,-10.5,-107,home,43.0,231,-110,230.5,-105,230.5,-105,230.5,-110,230.5,-112
20200117,13:03:45,away,Minnesota,Indiana,51.0,+236,+245,+245,+240,+235,away,51.0,+7,-106,+7,-105,+7,-105,+7,-115,+7,-113,away,68.0,217.5,-108,217.5,-105,218,-105,218,-115,217.5,-110
20200117,13:03:45,home,Indiana,Minnesota,49.0,-272,-265,-305,-290,-280,home,49.0,-7,-104,-7,-105,-7,-105,-7,-105,-7,-107,home,32.0,217.5,-102,217.5,-105,218,-105,218,-105,217.5,-110
20200117,13:03:45,away,Cleveland,Memphis,43.0,+366,+400,+395,+350,+385,away,37.0,+9.5,-114,+9,-101,+9,-105,+9.5,-115,+9,-105,away,51.0,229.5,-105,230,-105,230.5,-105,230,-110,230,-107
20200117,13:03:45,home,Memphis,Cleveland,57.0,-447,-450,-520,-500,-475,home,63.0,-9.5,+103,-9,-109,-9,-105,-9.5,-105,-9,-115,home,49.0,229.5,-105,230,-105,230.5,-105,230,-110,230,-113
20200117,13:03:45,away,Miami,Oklahoma City,52.0,-114,-113,-110,-120,-116,away,51.0,-1,-108,-1,-105,-1,-105,-1,-115,-1,-111,away,66.0,216.5,+101,216,-105,215.5,-105,217,-115,216.5,-110
20200117,13:03:45,home,Oklahoma City,Miami,48.0,+103,+103,-110,+100,-104,home,49.0,+1,-102,+1,-105,+1,-105,+1,-105,+1,-109,home,34.0,216.5,-112,216,-105,215.5,-105,217,-105,216.5,-110
20200117,13:03:45,away,Atlanta,San Antonio,50.0,+321,+340,+360,+325,+330,away,43.0,+8.5,+100,+9,-105,+9,-105,+9.5,-115,+8.5,-105,away,61.0,230,-103,230.5,-105,231,-105,230.5,-110,230.5,-105
20200117,13:03:45,home,San Antonio,Atlanta,50.0,-383,-380,-450,-450,-410,home,57.0,-8.5,-110,-9,-105,-9,-105,-9.5,-105,-8.5,-115,home,39.0,230,-107,230.5,-105,231,-105,230.5,-110,230.5,-115
20200117,13:03:45,away,Portland,Dallas,64.0,+266,+300,+295,+255,+270,away,51.0,+7.5,-107,+7.5,-105,+7.5,-105,+7.5,-115,+7.5,-113,away,59.0,228,-107,228,-105,228.5,-105,228.5,-110,228,-111
20200117,13:03:45,home,Dallas,Portland,36.0,-310,-330,-365,-310,-325,home,49.0,-7.5,-103,-7.5,-105,-7.5,-105,-7.5,-105,-7.5,-107,home,41.0,228,-103,228,-105,228.5,-105,228.5,-110,228,-109
20200118,13:03:51,away,L.A. Clippers,New Orleans,52.0,-228,-230,-250,-245,-245,away,57.0,-5.5,-107,-5.5,-109,-6,-105,-6,-110,-5.5,-115,away,51.0,236,-105,236,-102,236.5,-105,236,-110,236,-110
20200118,13:03:51,home,New Orleans,L.A. Clippers,48.0,+201,+210,+210,+205,+205,home,43.0,+5.5,-103,+5.5,-101,+6,-105,+6,-110,+5.5,-105,home,49.0,236,-105,236,-108,236.5,-105,236,-110,236,-110
20200118,13:03:51,away,Milwaukee,Brooklyn,46.0,-537,-500,-600,-570,-525,away,57.0,-10.5,-100,-10.5,-101,-10.5,-105,-11,-105,-10.5,-107,away,52.0,236.5,-107,236.5,-105,237,-105,236,-115,236,-115
20200118,13:03:51,home,Brooklyn,Milwaukee,54.0,+429,+435,+450,+385,+420,home,43.0,+10.5,-110,+10.5,-109,+10.5,-105,+11,-115,+10.5,-113,home,48.0,236.5,-103,236.5,-105,237,-105,236,-105,236,-105
20200118,13:03:51,away,Phoenix,Boston,41.0,+153,+165,+165,+160,+160,away,41.0,+4,-105,+4,-105,+4,-105,+4.5,-110,+4.5,-111,away,48.0,220.5,-105,220.5,-103,220,-105,219.5,-110,220,-113
20200118,13:03:51,home,Boston,Phoenix,59.0,-171,-175,-190,-180,-180,home,59.0,-4,-105,-4,-105,-4,-105,-4.5,-110,-4.5,-109,home,52.0,220.5,-105,220.5,-107,220,-105,219.5,-110,220,-107
20200118,13:03:51,away,Detroit,Atlanta,50.0,-117,-118,-115,-120,-120,away,48.0,-1.5,-107,-1.5,-105,-1,-105,-1.5,-110,-1,-115,away,59.0,227.5,-108,227.5,-105,228,-105,227.5,-110,227.5,-113
20200118,13:03:51,home,Atlanta,Detroit,50.0,+106,+108,-105,+100,+100,home,52.0,+1.5,-103,+1.5,-105,+1,-105,+1.5,-110,+1,-105,home,41.0,227.5,-102,227.5,-105,228,-105,227.5,-110,227.5,-107
20200118,13:03:51,away,Philadelphia,New York,63.0,-175,-170,-190,-190,-190,away,64.0,-4,-107,-4,-109,-4.5,-105,-4.5,-110,-4.5,-110,away,39.0,219,-103,218.5,-105,218,-105,218.5,-110,219,-113
20200118,13:03:51,home,New York,Philadelphia,37.0,+157,+160,+165,+165,+165,home,36.0,+4,-103,+4,-101,+4.5,-105,+4.5,-110,+4.5,-110,home,61.0,219,-107,218.5,-105,218,-105,218.5,-110,219,-107
20200118,13:03:51,away,Cleveland,Chicago,49.0,+277,+260,+300,+260,+270,away,43.0,+7.5,-110,+7,-103,+7,-105,+7.5,-115,+7,-110,away,53.0,214.5,-110,215,-108,214.5,-105,215,-110,215,-110
20200118,13:03:51,home,Chicago,Cleveland,51.0,-325,-290,-370,-320,-325,home,57.0,-7.5,+100,-7,-107,-7,-105,-7.5,-105,-7,-110,home,47.0,214.5,-100,215,-102,214.5,-105,215,-110,215,-110
20200118,13:03:51,away,Toronto,Minnesota,66.0,-175,-170,-185,-190,-175,away,61.0,-4,-105,-4,-108,-4,-105,-5,-105,-4,-115,away,53.0,223.5,-105,224,-108,224,-105,226,-110,224,-110
20200118,13:03:51,home,Minnesota,Toronto,34.0,+156,+160,+160,+165,+155,home,39.0,+4,-105,+4,-102,+4,-105,+5,-115,+4,-105,home,47.0,223.5,-105,224,-102,224,-105,226,-110,224,-110
20200118,13:03:51,away,L.A. Lakers,Houston,54.0,+138,+137,+140,+130,+133,away,52.0,+3.5,-106,+3.5,-109,+3.5,-105,+3,-110,+3.5,-115,away,57.0,235,+102,234.5,-108,234,-105,236,-105,235,-110
20200118,13:03:51,home,Houston,L.A. Lakers,46.0,-154,-147,-160,-150,-153,home,48.0,-3.5,-104,-3.5,-101,-3.5,-105,-3,-110,-3.5,-105,home,43.0,235,-112,234.5,-102,234,-105,236,-115,235,-110
20200118,13:03:51,away,Orlando,Golden State,50.0,-237,-230,-250,-240,-225,away,60.0,-6,-108,-6,-105,-6.5,-105,-6,-115,-6,-105,away,57.0,213.5,-111,214,-105,214,-105,214,-115,213.5,-115
20200118,13:03:51,home,Golden State,Orlando,50.0,+208,+210,+210,+200,+195,home,40.0,+6,-102,+6,-105,+6.5,-105,+6,-105,+6,-115,home,43.0,213.5,+101,214,-105,214,-105,214,-105,213.5,-105
20200118,13:03:51,away,Portland,Oklahoma City,49.0,+238,+240,+240,+220,+225,away,37.0,+6.5,+101,+7,-110,+7,-105,+7,-110,+6.5,-112,away,49.0,216,-105,215.5,-108,215.5,-105,216,-105,215.5,-110
20200118,13:03:51,home,Oklahoma City,Portland,51.0,-275,-260,-290,-270,-265,home,63.0,-6.5,-111,-7,+100,-7,-105,-7,-110,-6.5,-108,home,51.0,216,-105,215.5,-102,215.5,-105,216,-115,215.5,-110
20200118,13:03:51,away,Sacramento,Utah,44.0,+343,+375,+390,+335,+360,away,46.0,+9,-105,+9,-102,+9,-105,+10,-115,+9,-105,away,57.0,223,-112,223,-108,223.5,-105,223,-115,223,-110
20200118,13:03:51,home,Utah,Sacramento,56.0,-413,-420,-515,-470,-450,home,54.0,-9,-105,-9,-108,-9,-105,-10,-105,-9,-115,home,43.0,223,+102,223,-102,223.5,-105,223,-105,223,-110
20200119,13:03:58,away,Miami,San Antonio,60.0,-111,-112,-115,-120,-118,away,51.0,-1,-105,-1,-108,-1,-105,-1.5,-115,-1.5,-109,away,67.0,222.5,-106,222.5,-107,223.5,-105,223,-115,222.5,-114
20200119,13:03:58,home,San Antonio,Miami,40.0,+101,+102,-105,+100,-102,home,49.0,+1,-105,+1,-102,+1,-105,+1.5,-105,+1.5,-111,home,33.0,222.5,-104,222.5,-103,223.5,-105,223,-105,222.5,-106
20200119,13:03:58,away,Indiana,Denver,45.0,-112,-118,-120,-120,-117,away,49.0,-1,-107,-1.5,-101,-1.5,-105,-1,-110,-1,-112,away,63.0,213.5,+102,213.5,-108,214,-105,214,-105,213.5,-110
20200119,13:03:58,home,Denver,Indiana,55.0,+101,+108,+100,+100,-103,home,51.0,+1,-103,+1.5,-109,+1.5,-105,+1,-110,+1,-108,home,37.0,213.5,-112,213.5,-102,214,-105,214,-115,213.5,-110
