key,date,ml_time,team,opp_team,ml_consensus,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_consensus,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_consensus,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20200220,16:27:45,away,Milwaukee,Detroit,55.0,-870,-925,-1060,-1200,-1100,away,70.0,-13,-102,-13,-107,-13.5,-105,-13.5,-110,-13,-112,away,62.0,227,-108,227,-105,227.5,-105,227,-110,227,-115
20200220,16:27:45,home,Detroit,Milwaukee,45.0,+640,+725,+760,+700,+700,home,30.0,+13,-108,+13,-103,+13.5,-105,+13.5,-110,+13,-108,home,38.0,227,-102,227,-105,227.5,-105,227,-110,227,-105
20200220,16:27:45,away,Miami,Atlanta,55.0,-250,-245,-265,-260,-260,away,59.0,-6,-110,-6.5,-102,-6.5,-105,-6.5,-115,-6.5,-110,away,58.0,229.5,-101,230,-105,230,-105,230.5,-110,229,-112
20200220,16:27:45,home,Atlanta,Miami,45.0,+219,+225,+215,+215,+220,home,41.0,+6,-101,+6.5,-108,+6.5,-105,+6.5,-105,+6.5,-110,home,42.0,229.5,-109,230,-105,230,-105,230.5,-110,229,-108
20200220,16:27:45,away,Charlotte,Chicago,62.0,+154,+155,+155,+150,+149,away,56.0,+4,-106,+4,-105,+4,-105,+4,-110,+4,-112,away,64.0,210.5,-103,211,-105,211.5,-105,212,-110,211.5,-105
20200220,16:27:45,home,Chicago,Charlotte,38.0,-172,-165,-175,-170,-169,home,44.0,-4,-104,-4,-105,-4,-105,-4,-110,-4,-108,home,36.0,210.5,-107,211,-105,211.5,-105,212,-110,211.5,-115
20200220,16:27:45,away,Brooklyn,Philadelphia,51.0,+232,+248,+245,+250,+235,away,48.0,+7,-112,+7,-105,+6.5,-105,+7,-105,+7,-115,away,53.0,214,-110,214,-105,214,-105,214,-110,214,-110
20200220,16:27:45,home,Philadelphia,Brooklyn,49.0,-266,-270,-305,-300,-280,home,52.0,-7,+102,-7,-105,-6.5,-105,-7,-115,-7,-105,home,47.0,214,-100,214,-105,214,-105,214,-110,214,-110
20200220,16:27:45,away,Memphis,Sacramento,64.0,-106,-112,-125,-125,-115,away,62.0,-1,-101,-1,-105,-1.5,-105,-1.5,-105,-1,-110,away,54.0,230,-114,230,-105,230,-105,230.5,-110,230.5,-112
20200220,16:27:45,home,Sacramento,Memphis,36.0,-104,+102,+105,+105,-105,home,38.0,+1,-109,+1,-105,+1.5,-105,+1.5,-115,+1,-110,home,46.0,230,+103,230,-105,230,-105,230.5,-110,230.5,-108
20200220,16:27:45,away,Houston,Golden State,48.0,-472,-475,-535,-500,-510,away,57.0,-9.5,-109,-10,-102,-10,-105,-10.5,-105,-10,-114,away,50.0,233,-106,233,-105,233,-105,233,-110,233,-110
20200220,16:27:45,home,Golden State,Houston,52.0,+384,+420,+410,+350,+405,home,43.0,+9.5,-101,+10,-108,+10,-105,+10.5,-115,+10,-106,home,50.0,233,-104,233,-105,233,-105,233,-110,233,-110
