key,date,ml_time,team,opp_team,ml_consensus,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_consensus,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_consensus,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20200226,16:33:50,away,Brooklyn,Washington,49.0,-122,-118,-125,-125,-125,away,50.0,-2,+100,-1.5,-108,-1,-105,-2,-105,-1.5,-108,away,51.0,233.5,-103,233,-107,233.5,-105,234,-110,233.5,-112
20200226,16:33:50,home,Washington,Brooklyn,51.0,+111,+108,+105,+105,+105,home,50.0,+2,-111,+1.5,-102,+1,-105,+2,-115,+1.5,-112,home,49.0,233.5,-107,233,-103,233.5,-105,234,-110,233.5,-108
20200226,16:33:50,away,Philadelphia,Cleveland,54.0,-319,-315,-350,-360,-325,away,59.0,-7.5,-103,-7.5,-105,-7.5,-105,-8,-105,-7.5,-110,away,53.0,216,-107,216.5,-108,216,-105,216.5,-110,216.5,-108
20200226,16:33:50,home,Cleveland,Philadelphia,46.0,+272,+285,+280,+280,+270,home,41.0,+7.5,-107,+7.5,-105,+7.5,-105,+8,-115,+7.5,-110,home,47.0,216,-103,216.5,-102,216,-105,216.5,-110,216.5,-112
20200226,16:33:50,away,New York,Charlotte,47.0,-131,-125,-135,-130,-132,away,53.0,-2,-110,-2,-105,-2,-105,-2,-105,-2,-112,away,57.0,207.5,-100,207,-105,207.5,-105,207,-115,207,-115
20200226,16:33:50,home,Charlotte,New York,53.0,+118,+115,+115,+110,+112,home,47.0,+2,-101,+2,-105,+2,-105,+2,-115,+2,-108,home,43.0,207.5,-110,207,-105,207.5,-105,207,-105,207,-105
20200226,16:33:50,away,Minnesota,Miami,47.0,+542,+555,+610,+500,+580,away,36.0,+11.5,+104,+12,-108,+12,-105,+12.5,-115,+12,-105,away,65.0,234.5,-105,234.5,-108,235,-105,235,-105,234.5,-115
20200226,16:33:50,home,Miami,Minnesota,53.0,-709,-680,-860,-800,-800,home,64.0,-11.5,-114,-12,-102,-12,-105,-12.5,-105,-12,-115,home,35.0,234.5,-105,234.5,-102,235,-105,235,-115,234.5,-105
20200226,16:33:50,away,Orlando,Atlanta,44.0,-133,-135,-145,-140,-140,away,46.0,-2.5,-105,-2.5,-108,-2.5,-105,-2.5,-110,-2.5,-110,away,63.0,230.5,-108,230.5,-108,230.5,-105,230.5,-115,231,-110
20200226,16:33:50,home,Atlanta,Orlando,56.0,+121,+125,+125,+120,+120,home,54.0,+2.5,-105,+2.5,-102,+2.5,-105,+2.5,-110,+2.5,-110,home,37.0,230.5,-102,230.5,-102,230.5,-105,230.5,-105,231,-110
20200226,16:33:50,away,Memphis,Houston,49.0,+620,+635,+655,+525,+640,away,47.0,+12.5,-104,+13.5,-128,+12.5,-105,+12.5,-115,+12,-102,away,56.0,237.5,-115,238,+103,238,-105,237,-110,237.5,-115
20200226,16:33:50,home,Houston,Memphis,51.0,-836,-800,-905,-850,-900,home,53.0,-12.5,-106,-13.5,+108,-12.5,-105,-12.5,-105,-12,-118,home,44.0,237.5,+104,238,-123,238,-105,237,-110,237.5,-105
20200226,16:33:50,away,Dallas,San Antonio,58.0,-165,-170,-190,-180,-178,away,63.0,-4,-104,-4,-108,-4,-105,-5,-110,-4.5,-103,away,67.0,232.5,-110,233,-102,233,-105,233.5,-105,233,-111
20200226,16:33:50,home,San Antonio,Dallas,42.0,+148,+160,+165,+160,+158,home,37.0,+4,-106,+4,-102,+4,-105,+5,-110,+4.5,-117,home,33.0,232.5,-101,233,-108,233,-105,233.5,-115,233,-109
20200226,16:33:50,away,L.A. Clippers,Phoenix,66.0,-334,-325,-365,-320,-330,away,67.0,-7.5,-114,-8,-101,-8,-105,-8,-110,-7.5,-110,away,57.0,234,-104,233.5,-104,233.5,-105,233,-110,233.5,-110
20200226,16:33:50,home,Phoenix,L.A. Clippers,34.0,+284,+295,+295,+260,+275,home,33.0,+7.5,+103,+8,-109,+8,-105,+8,-110,+7.5,-110,home,43.0,234,-106,233.5,-106,233.5,-105,233,-110,233.5,-110
20200226,16:33:50,away,Boston,Utah,65.0,+179,+190,+195,+165,+170,away,56.0,+5,-102,+5,-102,+5,-105,+5,-115,+5,-110,away,56.0,218,-107,217.5,-107,218,-105,218,-115,217.5,-112
20200226,16:33:50,home,Utah,Boston,35.0,-201,-210,-230,-190,-200,home,44.0,-5,-108,-5,-108,-5,-105,-5,-105,-5,-110,home,44.0,218,-103,217.5,-103,218,-105,218,-105,217.5,-108
