date,key,ml_BOL,ml_BVD,ml_FD,ml_HER,ml_PIN,ml_consensus,ml_time,opp_team,rl_BOL_line,rl_BOL_odds,rl_BVD_line,rl_BVD_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_PIN_line,rl_PIN_odds,rl_consensus,rl_time,team,tot_BOL_line,tot_BOL_odds,tot_BVD_line,tot_BVD_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_PIN_line,tot_PIN_odds,tot_consensus,tot_time
21:40:46,20140101,+115,,+113,+115,+120,0.0,away,Washington,+2,-110,+2,-115,+2,-110,+2,-110,+2,-101,53.2,away,Dallas,203,-110,204,-110,203,-110,203,-110,203,-104,52.3,away
21:40:46,20140101,-135,,-133,-135,-133,100.0,home,Dallas,-2,-110,-2,-105,-2,-110,-2,-110,-2,-109,46.8,home,Washington,203,-110,204,-110,203,-110,203,-110,203,-106,47.7,home
21:40:46,20140101,-240,-235,-215,-230,-210,66.0,away,Toronto,-5.5,-110,-5.5,-115,-5.5,-103,-5.5,-110,-5,-106,65.0,away,Indiana,190,-110,190,-105,190,-105,189.5,-110,190,-109,34.7,away
21:40:46,20140101,+200,+195,+195,+190,+188,34.0,home,Indiana,+5.5,-110,+5.5,-105,+5.5,-107,+5.5,-110,+5,-104,35.0,home,Toronto,190,-110,190,-115,190,-105,189.5,-110,190,-101,65.3,home
21:40:46,20140101,+185,+175,+190,+185,+182,5.9,away,Minnesota,+5,-110,+5.5,-115,+5,-105,+5,-110,+5,-105,52.5,away,New Orleans,211,-110,211,-115,211,-105,210.5,-110,211,-107,47.4,away
21:40:46,20140101,-215,-210,-210,-220,-203,94.1,home,New Orleans,-5,-110,-5.5,-105,-5,-105,-5,-110,-5,-105,47.5,home,Minnesota,211,-110,211,-105,211,-105,210.5,-110,211,-103,52.6,home
21:40:46,20140101,+390,+325,+400,,+399,0.0,away,Denver,+9,-110,+9,-110,+9,-103,+9,-110,+9,-102,49.6,away,Philadelphia,213,-110,213,-110,213,-105,213,-110,213.5,-101,0.0,away
21:40:46,20140101,-475,-450,-450,,-468,100.0,home,Philadelphia,-9,-110,-9,-110,-9,-107,-9,-110,-9,-108,50.4,home,Denver,213,-110,213,-110,213,-105,213,-110,213.5,-109,100.0,home
21:40:46,20140101,+500,,+530,+495,+546,45.4,away,L.A. Clippers,+10.5,-110,+10.5,-110,+10.5,-105,+10.5,-110,+10.5,-102,48.5,away,Charlotte,193,-110,193,-115,193,-109,193,-110,194,-109,46.5,away
21:40:46,20140101,-640,,-645,-795,-667,54.6,home,Charlotte,-10.5,-110,-10.5,-110,-10.5,-105,-10.5,-110,-10.5,-108,51.5,home,L.A. Clippers,193,-110,193,-105,193,-101,193,-110,194,-101,53.5,home
