date,key,ml_BOL,ml_BVD,ml_FD,ml_HER,ml_PIN,ml_consensus,ml_time,opp_team,rl_BOL_line,rl_BOL_odds,rl_BVD_line,rl_BVD_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_PIN_line,rl_PIN_odds,rl_consensus,rl_time,team,tot_BOL_line,tot_BOL_odds,tot_BVD_line,tot_BVD_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_PIN_line,tot_PIN_odds,tot_consensus,tot_time
13:04:26,20100101,,,+550,,+555,0.0,away,Atlanta,+11,-110,+11.5,-115,+11,-110,,,+11,-105,0.0,away,New York,205,-110,206,-105,205.5,-110,,,205,-110,0.0,away
13:04:26,20100101,,,-800,,,0.0,home,New York,-11,-110,-11.5,-105,-11,-110,,,-11,-105,0.0,home,Atlanta,205,-110,206,-115,205.5,-110,,,205,+100,0.0,home
13:04:26,20100101,-400,-400,-350,,-342,0.0,away,Minnesota,-8,-110,-8.5,-105,-8,-110,,,-8,-101,0.0,away,Orlando,202,-110,203,-110,,,,,202.5,-101,0.0,away
13:04:26,20100101,+300,+300,+290,,+299,0.0,home,Orlando,+8,-110,+8.5,-115,+8,-110,,,+8,-109,0.0,home,Minnesota,202,-110,203,-110,202.5,-110,,,,,0.0,home
13:04:26,20100101,,,,,+760,0.0,away,L.A. Lakers,+12,-110,+12,-110,+12,-110,,,+12,-102,0.0,away,Sacramento,211,-110,212,-105,211.5,-110,,,211,-109,0.0,away
13:04:26,20100101,,,,,-1000,0.0,home,Sacramento,-12,-110,-12,-110,-12,-110,,,-12,-108,0.0,home,L.A. Lakers,211,-110,212,-115,211.5,-110,,,211,-101,0.0,home
13:04:31,20100102,-600,,-600,,-575,0.0,away,Brooklyn,-10,-110,-10.5,-105,-10,-110,,,-10,-105,0.0,away,Cleveland,192,-110,192,-110,191.5,-110,,,192,+102,0.0,away
13:04:31,20100102,+400,,+450,,+480,0.0,home,Cleveland,+10,-110,+10.5,-115,+10,-110,,,+10,-105,0.0,home,Brooklyn,192,-110,192,-110,191.5,-110,,,192,-112,0.0,home
13:04:31,20100102,,,,,,NaN,away,MISSING,,,,,,,,,,,NaN,away,MISSING,187,-110,187,-110,187,-110,,,187,-105,NaN,away
13:04:31,20100102,,,,,,NaN,away,MISSING,,,,,,,,,,,NaN,away,MISSING,187,-110,187,-110,187,-110,,,187,-105,NaN,home
13:04:31,20100102,,,,,,NaN,away,MISSING,,,,.,,,,.,,,NaN,home,MISSING,187,-110,187,-110,187,-110,,,187,-105,NaN,away
13:04:31,20100102,,,,,,NaN,away,MISSING,,,,.,,,,.,,,NaN,home,MISSING,187,-110,187,-110,187,-110,,,187,-105,NaN,home
13:04:31,20100102,,.,,.,,NaN,home,MISSING,,,,,,,,,,,NaN,away,MISSING,187,-110,187,-110,187,-110,,,187,-105,NaN,away
13:04:31,20100102,,.,,.,,NaN,home,MISSING,,,,,,,,,,,NaN,away,MISSING,187,-110,187,-110,187,-110,,,187,-105,NaN,home
13:04:31,20100102,,.,,.,,NaN,home,MISSING,,,,.,,,,.,,,NaN,home,MISSING,187,-110,187,-110,187,-110,,,187,-105,NaN,away
13:04:31,20100102,,.,,.,,NaN,home,MISSING,,,,.,,,,.,,,NaN,home,MISSING,187,-110,187,-110,187,-110,,,187,-105,NaN,home
13:04:31,20100102,-260,-270,-270,,-260,0.0,away,Washington,-6,-110,-6.5,-105,-6,-110,,,-6,-111,0.0,away,San Antonio,203,-110,203,-110,202.5,-110,,,202.5,-103,0.0,away
13:04:31,20100102,+220,+230,+230,,+231,0.0,home,San Antonio,+6,-110,+6.5,-115,+6,-110,,,+6,+101,0.0,home,Washington,203,-110,203,-110,202.5,-110,,,202.5,-107,0.0,home
13:04:31,20100102,+170,+155,+165,,+170,0.0,away,Indiana,+4.5,-110,+4,-110,+4.5,-110,,,+4,+103,0.0,away,Minnesota,208,-110,208,-110,208,-110,,,208,-102,0.0,away
13:04:31,20100102,-200,-175,-190,,-189,0.0,home,Minnesota,-4.5,-110,-4,-110,-4.5,-110,,,-4,-113,0.0,home,Indiana,208,-110,208,-110,208,-110,,,208,-108,0.0,home
13:04:31,20100102,+130,+135,+130,,+134,0.0,away,Boston,+3,-110,+3,-105,+3,-110,,,+3,-103,0.0,away,Toronto,194.5,-110,194,-115,194.5,-110,,,194.5,-108,0.0,away
13:04:31,20100102,-150,-155,-150,,-148,0.0,home,Toronto,-3,-110,-3,-115,-3,-110,,,-3,-107,0.0,home,Boston,194.5,-110,194,-105,194.5,-110,,,194.5,-102,0.0,home
13:04:31,20100102,-155,-160,-155,,-150,0.0,away,Chicago,-3,-110,-3.5,-110,-3,-110,,,-3.5,-101,0.0,away,Orlando,193,-110,193,-110,193.5,-110,,,193,-113,0.0,away
13:04:31,20100102,+135,+140,+135,,+136,0.0,home,Orlando,+3,-110,+3.5,-110,+3,-110,,,+3.5,-109,0.0,home,Chicago,193,-110,193,-110,193.5,-110,,,193,+103,0.0,home
13:04:31,20100102,+120,,+120,,+121,0.0,away,New Orleans,+2.5,-110,+2.5,-110,+2.5,-110,,,+2.5,-108,0.0,away,Houston,194.5,-110,194,-115,195,-110,,,194.5,-112,0.0,away
13:04:31,20100102,-140,,-140,,-134,0.0,home,Houston,-2.5,-110,-2.5,-110,-2.5,-110,,,-2.5,-102,0.0,home,New Orleans,194.5,-110,194,-105,195,-110,,,194.5,+102,0.0,home
13:04:31,20100102,,,+110,,+109,0.0,away,Milwaukee,+1.5,-110,+1.5,-110,+2,-110,,,+1.5,-101,0.0,away,Oklahoma City,197,-110,197,-110,197,-110,,,197,-108,0.0,away
13:04:31,20100102,,,-130,,-120,0.0,home,Oklahoma City,-1.5,-110,-1.5,-110,-2,-110,,,-1.5,-109,0.0,home,Milwaukee,197,-110,197,-110,197,-110,,,197,-102,0.0,home
13:04:31,20100102,+300,+290,+290,,+297,0.0,away,Phoenix,+8,-110,+8.5,-115,+8,-110,,,+8,-110,0.0,away,Memphis,227.5,-110,228,-110,228,-110,,,228,-110,0.0,away
13:04:31,20100102,-400,-380,-350,,-340,0.0,home,Memphis,-8,-110,-8.5,-105,-8,-110,,,-8,+100,0.0,home,Phoenix,227.5,-110,228,-110,228,-110,,,228,+100,0.0,home
13:04:31,20100102,+240,+255,+250,,+244,0.0,away,Utah,+7,-110,+7.5,-115,+7.5,-110,,,+7.5,-109,0.0,away,Denver,201.5,-110,202,-105,202,-110,,,201.5,-112,0.0,away
13:04:31,20100102,-290,-310,-300,,-275,0.0,home,Denver,-7,-110,-7.5,-105,-7.5,-110,,,-7.5,-101,0.0,home,Utah,201.5,-110,202,-115,202,-110,,,,,0.0,home
13:04:31,20100102,+135,+135,+135,,+136,0.0,away,Portland,+3.5,-110,+4,-115,+3.5,-110,,,+3.5,-113,0.0,away,Golden State,213.5,-110,213,-110,213.5,-110,,,213.5,-111,0.0,away
13:04:31,20100102,-155,-155,-155,,-150,0.0,home,Golden State,-3.5,-110,-4,-105,-3.5,-110,,,-3.5,+103,0.0,home,Portland,213.5,-110,213,-110,213.5,-110,,,213.5,+101,0.0,home
13:04:31,20100102,-175,-180,-190,,-185,0.0,away,Sacramento,-4,-110,-4.5,-105,-4,-110,,,-4,-105,0.0,away,Dallas,206,-110,206,-115,206,-110,,,206,-114,0.0,away
13:04:31,20100102,+155,+160,+165,,+166,0.0,home,Dallas,+4,-110,+4.5,-115,+4,-110,,,+4,-105,0.0,home,Sacramento,,,206,-105,206,-110,,,206,+104,0.0,home
13:04:45,20100103,,,+575,,+618,0.0,away,Cleveland,+11.5,-110,+11.5,-110,+11.5,-110,,,+11.5,-104,0.0,away,Charlotte,185.5,-110,185,-115,185.5,-110,,,185.5,-106,0.0,away
13:04:45,20100103,,,-850,,-770,0.0,home,Charlotte,-11.5,-110,-11.5,-110,-11.5,-110,,,-11.5,-106,0.0,home,Cleveland,185.5,-110,185,-105,185.5,-110,,,185.5,-104,0.0,home
13:04:45,20100103,,,,,,NaN,away,MISSING,,,,,,,,,,,NaN,away,MISSING,208.5,-110,209,-105,209,-110,,,208.5,-115,NaN,away
13:04:45,20100103,,,,,,NaN,away,MISSING,,,,,,,,,,,NaN,away,MISSING,208.5,-110,209,-115,209,-110,,,208.5,+105,NaN,home
13:04:45,20100103,,,,,,NaN,away,MISSING,,,,.,,,,.,,,NaN,home,MISSING,208.5,-110,209,-105,209,-110,,,208.5,-115,NaN,away
13:04:45,20100103,,,,,,NaN,away,MISSING,,,,.,,,,.,,,NaN,home,MISSING,208.5,-110,209,-115,209,-110,,,208.5,+105,NaN,home
13:04:45,20100103,,.,,.,,NaN,home,MISSING,,,,,,,,,,,NaN,away,MISSING,208.5,-110,209,-105,209,-110,,,208.5,-115,NaN,away
