key,date,ml_time,team,opp_team,ml_PIN,ml_FD,ml_HER,ml_BVD,ml_BOL,rl_time,rl_PIN_line,rl_PIN_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_BVD_line,rl_BVD_odds,rl_BOL_line,rl_BOL_odds,tot_time,tot_PIN_line,tot_PIN_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_BVD_line,tot_BVD_odds,tot_BOL_line,tot_BOL_odds
20191205,14:40:17,away,Philadelphia,Washington,-330,-335,-395,-380,-340,away,-8,+104,-7.5,-105,-7.5,-105,-8.5,-110,-8,-108,away,233,+102,232.5,-105,232,-105,233,-110,232,-110
20191205,14:40:17,home,Washington,Philadelphia,+281,+305,+315,+290,+285,home,+8,-114,+7.5,-105,+7.5,-105,+8.5,-110,+8,-112,home,233,-113,232.5,-105,232,-105,233,-110,232,-110
20191205,14:40:17,away,Houston,Toronto,+112,+118,+105,+110,+108,away,+2,-104,+2,-102,+2,-105,+2.5,-115,+2,-108,away,230.5,+101,231,-105,231,-105,231,-110,231,-111
20191205,14:40:17,home,Toronto,Houston,-123,-128,-125,-130,-128,home,-2,-106,-2,-108,-2,-105,-2.5,-105,-2,-112,home,230.5,-111,231,-105,231,-105,231,-110,231,-109
20191205,14:40:17,away,Denver,New York,-363,-355,-440,-470,-370,away,-8.5,-100,-8.5,-105,-8.5,-105,-9,-110,-8.5,-108,away,204,-104,204,-105,204.5,-105,204.5,-110,204.5,-108
20191205,14:40:17,home,New York,Denver,+306,+320,+350,+335,+310,home,+8.5,-110,+8.5,-105,+8.5,-105,+9,-110,+8.5,-112,home,204,-106,204,-105,204.5,-105,204.5,-110,204.5,-112
20191205,14:40:17,away,Phoenix,New Orleans,+158,+165,+160,+160,+155,away,+4,+101,+4.5,-107,+4.5,-105,+4.5,-110,+4,-102,away,235.5,+102,235,-107,234,-105,235,-115,235.5,-105
20191205,14:40:17,home,New Orleans,Phoenix,-176,-175,-185,-180,-175,home,-4,-112,-4.5,-103,-4.5,-105,-4.5,-110,-4,-118,home,235.5,-115,235,-103,234,-105,235,-105,235.5,-115
20191206,14:40:20,away,Orlando,Cleveland,-197,-190,-190,-235,-195,away,-5,-104,-5,-105,-5,-105,-5.5,-110,-4.5,-115,away,210,-107,210,-108,210,-105,210.5,-110,210,-110
20191206,14:40:20,home,Cleveland,Orlando,+175,+175,+165,+195,+170,home,+5,-106,+5,-105,+5,-105,+5.5,-110,+4.5,-105,home,210,-103,210,-102,210,-105,210.5,-110,210,-110
20191206,14:40:20,away,Indiana,Detroit,-109,-105,-120,-125,-115,away,-1,-104,-1,+100,-1.5,-105,-2,-105,-1.5,-110,away,212,-115,212,-105,212,-105,213,-110,212.5,-109
20191206,14:40:20,home,Detroit,Indiana,-101,-105,+100,+105,-105,home,+1,-106,+1,-110,+1.5,-105,+2,-115,+1.5,-110,home,212,+104,212,-105,212,-105,213,-110,212.5,-111
20191206,14:40:20,away,Brooklyn,Charlotte,-149,-145,-155,-155,-152,away,-3,-106,-3,-108,-3,-105,-3.5,-110,-3,-113,away,219.5,+100,219.5,-105,218,-105,219.5,-110,219.5,-105
20191206,14:40:20,home,Charlotte,Brooklyn,+134,+135,+135,+135,+132,home,+3,-104,+3,-102,+3,-105,+3.5,-110,+3,-107,home,219.5,-111,219.5,-105,218,-105,219.5,-110,219.5,-115
20191206,14:40:20,away,Washington,Miami,+389,+435,+455,+390,+405,away,+9.5,-112,+9.5,-105,+9.5,-105,+10,-110,+9.5,-114,away,228.5,-107,228.5,-102,228.5,-105,228.5,-110,228.5,-112
20191206,14:40:20,home,Miami,Washington,-478,-500,-605,-580,-500,home,-9.5,+102,-9.5,-105,-9.5,-105,-10,-110,-9.5,-106,home,228.5,-103,228.5,-108,228.5,-105,228.5,-110,228.5,-108
20191206,14:40:20,away,Denver,Boston,+148,+150,+135,+150,+145,away,+3.5,-102,+3.5,-101,+3.5,-105,+4,-115,+3.5,-105,away,205.5,-111,205.5,-107,206,-105,206.5,-110,205.5,-111
20191206,14:40:20,home,Boston,Denver,-165,-160,-155,-170,-165,home,-3.5,-108,-3.5,-109,-3.5,-105,-4,-105,-3.5,-115,home,205.5,+100,205.5,-103,206,-105,206.5,-110,205.5,-109
20191206,14:40:20,away,Golden State,Chicago,+172,+170,+175,+175,+170,away,+4.5,-101,+4.5,-102,+5,-105,+5,-110,+4.5,-105,away,215,-106,215,-105,215,-105,214.5,-105,214.5,-110
20191206,14:40:20,home,Chicago,Golden State,-193,-185,-205,-210,-195,home,-4.5,-110,-4.5,-108,-5,-105,-5,-110,-4.5,-115,home,215,-104,215,-105,215,-105,214.5,-115,214.5,-110
20191206,14:40:20,away,Minnesota,Oklahoma City,+143,+150,+150,+145,+145,away,+3.5,-104,+3.5,-105,+3.5,-105,+3.5,-110,+3.5,-108,away,218,+103,217.5,-105,218,-105,220,-110,219,-110
20191206,14:40:20,home,Oklahoma City,Minnesota,-159,-160,-170,-165,-165,home,-3.5,-106,-3.5,-105,-3.5,-105,-3.5,-110,-3.5,-112,home,218,-114,217.5,-105,218,-105,220,-110,219,-110
20191206,14:40:20,away,Sacramento,San Antonio,+167,+170,+175,+160,+170,away,+4.5,-104,+4.5,-105,+5,-105,+4.5,-115,+4.5,-107,away,215,+104,214.5,-105,214,-105,215,-110,214,-110
20191206,14:40:20,home,San Antonio,Sacramento,-187,-185,-205,-180,-195,home,-4.5,-106,-4.5,-105,-5,-105,-4.5,-105,-4.5,-113,home,215,-114,214.5,-105,214,-105,215,-110,214,-110
20191206,14:40:20,away,L.A. Clippers,Milwaukee,+165,+170,+170,+155,+163,away,+4.5,-105,+4.5,-103,+4.5,-105,+4.5,-110,+4.5,-110,away,234,-107,234.5,-105,233.5,-105,234,-110,234,-113
20191206,14:40:20,home,Milwaukee,L.A. Clippers,-185,-185,-200,-175,-183,home,-4.5,-105,-4.5,-107,-4.5,-105,-4.5,-110,-4.5,-110,home,234,-103,234.5,-105,233.5,-105,234,-110,234,-107
20191206,14:40:20,away,L.A. Lakers,Portland,-186,-187,-195,-225,-205,away,-4.5,-101,-4.5,-105,-5,-105,-5.5,-110,-4.5,-118,away,225,-101,225,-105,225.5,-105,226,-110,224.5,-115
20191206,14:40:20,home,Portland,L.A. Lakers,+166,+172,+170,+185,+175,home,+4.5,-109,+4.5,-105,+5,-105,+5.5,-110,+4.5,-102,home,225,-109,225,-105,225.5,-105,226,-110,224.5,-105
20191207,14:40:26,away,New Orleans,Dallas,+363,+340,+375,+335,+350,away,+9,-107,+9,-105,+9,-105,+9.5,-115,+9,-109,away,232,+103,232,-108,233,-105,232,-110,231.5,-110
20191207,14:40:26,home,Dallas,New Orleans,-442,-380,-475,-470,-450,home,-9,-103,-9,-105,-9,-105,-9.5,-105,-9,-111,home,232,-114,232,-102,233,-105,232,-110,231.5,-110
20191207,14:40:26,away,Indiana,New York,-208,-210,-235,-235,-220,away,-5.5,-102,-5.5,-105,-5.5,-105,-6,-105,-5.5,-110,away,209,+100,209,-105,209,-105,209,-110,208.5,-110
20191207,14:40:26,home,New York,Indiana,+186,+190,+200,+195,+190,home,+5.5,-108,+5.5,-105,+5.5,-105,+6,-115,+5.5,-110,home,209,-110,209,-105,209,-105,209,-110,208.5,-110
20191207,14:40:26,away,Cleveland,Philadelphia,+488,+540,+535,+475,+475,away,+10.5,-107,+10.5,-102,+10.5,-105,+11,-110,+10.5,-108,away,215,-104,214.5,-108,215,-105,214.5,-110,215.5,-110
20191207,14:40:26,home,Philadelphia,Cleveland,-625,-660,-710,-750,-650,home,-10.5,-103,-10.5,-108,-10.5,-105,-11,-110,-10.5,-112,home,215,-106,214.5,-102,215,-105,214.5,-110,215.5,-110
20191207,14:40:26,away,Phoenix,Houston,+529,+575,+575,+475,+525,away,+11.5,-102,+11.5,-105,+12,-105,+12,-115,+11.5,-110,away,240.5,-102,240.5,-108,241.5,-105,241,-110,240.5,-110
20191207,14:40:26,home,Houston,Phoenix,-690,-710,-750,-750,-750,home,-11.5,-108,-11.5,-105,-12,-105,-12,-105,-11.5,-110,home,240.5,-108,240.5,-102,241.5,-105,241,-110,240.5,-110
20191207,14:40:26,away,Memphis,Utah,+575,+575,+585,+500,+550,away,+11.5,-105,+11.5,-108,+11.5,-105,+11.5,-110,+11.5,-110,away,218,-109,218,-103,218.5,-105,217.5,-105,218,-110
20191207,14:40:26,home,Utah,Memphis,-762,-710,-785,-800,-800,home,-11.5,-105,-11.5,-102,-11.5,-105,-11.5,-110,-11.5,-110,home,218,-101,218,-107,218.5,-105,217.5,-115,218,-110
20191208,14:40:30,away,Denver,Brooklyn,-176,-178,-185,-190,-175,away,-4.5,-102,-4.5,-102,-4,-105,-5,-110,-4.5,-106,away,212,-103,212,-105,212,-105,212,-115,212,-110
20191208,14:40:30,home,Brooklyn,Denver,+157,+167,+160,+165,+155,home,+4.5,-108,+4.5,-108,+4,-105,+5,-110,+4.5,-114,home,212,-107,212,-105,212,-105,212,-105,212,-110
20191208,14:40:30,away,Atlanta,Charlotte,+108,+108,+110,+110,+108,away,+2,-113,+1.5,-101,+1.5,-105,+2,-110,+2,-113,away,222.5,+101,222.5,-108,222.5,-105,222.5,-110,222.5,-107
20191208,14:40:30,home,Charlotte,Atlanta,-119,-118,-130,-130,-128,home,-2,+102,-1.5,-109,-1.5,-105,-2,-110,-2,-107,home,222.5,-112,222.5,-102,222.5,-105,222.5,-110,222.5,-113
20191208,14:40:30,away,Toronto,Philadelphia,+129,+135,+140,+130,+120,away,+3,-110,+3,-105,+3,-105,+3,-105,+2.5,-110,away,214,-111,214,-105,215,-105,214,-115,214.5,-110
20191208,14:40:30,home,Philadelphia,Toronto,-143,-145,-160,-150,-140,home,-3,+100,-3,-105,-3,-105,-3,-115,-2.5,-110,home,214,+101,214,-105,215,-105,214,-105,214.5,-110
20191208,14:40:30,away,Chicago,Miami,+249,+255,+265,+260,+245,away,+7,-110,+6.5,-105,+7,-105,+7.5,-115,+7,-115,away,209,-110,209.5,-105,209.5,-105,210,-110,209.5,-110
20191208,14:40:30,home,Miami,Chicago,-288,-280,-325,-320,-305,home,-7,+100,-6.5,-105,-7,-105,-7.5,-105,-7,-105,home,209,-101,209.5,-105,209.5,-105,210,-110,209.5,-110
20191208,14:40:30,away,L.A. Clippers,Washington,-464,-450,-525,-450,-475,away,-9.5,-101,-9,-108,-9.5,-105,-9,-110,-9.5,-110,away,235,-111,235,-105,235,-105,234.5,-110,235,-110
20191208,14:40:30,home,Washington,L.A. Clippers,+378,+400,+400,+325,+375,home,+9.5,-110,+9,-102,+9.5,-105,+9,-110,+9.5,-110,home,235,+101,235,-105,235,-105,234.5,-110,235,-110
20191208,14:40:30,away,Sacramento,Dallas,+318,+355,+345,+325,+315,away,+8.5,-106,+9,-107,+9,-105,+9,-105,+8.5,-110,away,215,-111,215,-105,216,-105,216,-105,215,-107
20191208,14:40:30,home,Dallas,Sacramento,-379,-400,-435,-450,-400,home,-8.5,-104,-9,-103,-9,-105,-9,-115,-8.5,-110,home,215,+100,215,-105,216,-105,216,-115,215,-113
20191208,14:40:30,away,Oklahoma City,Portland,+154,+155,+155,+165,+147,away,+3.5,+100,+3.5,-102,+4,-105,+4.5,-115,+3.5,-107,away,223,-108,223,-105,223.5,-105,223,-115,223,-110
20191208,14:40:30,home,Portland,Oklahoma City,-171,-165,-175,-190,-167,home,-3.5,-111,-3.5,-108,-4,-105,-4.5,-105,-3.5,-113,home,223,-102,223,-105,223.5,-105,223,-105,223,-110
20191208,14:40:30,away,Minnesota,L.A. Lakers,+470,+470,+485,+425,+455,away,+10,-103,+9.5,-101,+10,-105,+10.5,-115,+9.5,-105,away,226.5,-108,227,-105,227.5,-105,227,-110,227,-107
20191208,14:40:30,home,L.A. Lakers,Minnesota,-598,-555,-635,-650,-615,home,-10,-107,-9.5,-109,-10,-105,-10.5,-105,-9.5,-115,home,226.5,-102,227,-105,227.5,-105,227,-110,227,-113
20191209,14:40:35,away,L.A. Clippers,Indiana,+127,+130,+125,+110,+125,away,+3,-112,+3,-109,+2.5,-105,+2.5,-110,+2.5,-105,away,217.5,-101,217,-105,216,-105,216.5,-110,217,-115
20191209,14:40:35,home,Indiana,L.A. Clippers,-140,-140,-145,-130,-145,home,-3,+101,-3,-101,-2.5,-105,-2.5,-110,-2.5,-115,home,217.5,-110,217,-105,216,-105,216.5,-110,217,-105
20191209,14:40:35,away,Cleveland,Boston,+814,+900,+850,+750,+775,away,+13.5,-106,+13.5,-105,+14,-105,+14,-110,+13.5,-108,away,216,-109,216,-107,215.5,-105,216,-110,216,-114
