date,key,ml_BOL,ml_BVD,ml_FD,ml_HER,ml_PIN,ml_time,opp_team,rl_BOL_line,rl_BOL_odds,rl_BVD_line,rl_BVD_odds,rl_FD_line,rl_FD_odds,rl_HER_line,rl_HER_odds,rl_PIN_line,rl_PIN_odds,rl_time,team,tot_BOL_line,tot_BOL_odds,tot_BVD_line,tot_BVD_odds,tot_FD_line,tot_FD_odds,tot_HER_line,tot_HER_odds,tot_PIN_line,tot_PIN_odds,tot_time
00:46:50,20140101,+115,,+113,+115,+120,away,Washington,+2,-110,+2,-115,+2,-110,+2,-110,+2,-101,away,Dallas,203,-110,204,-110,203,-110,203,-110,203,-104,away
00:46:50,20140101,-135,,-133,-135,-133,home,Dallas,-2,-110,-2,-105,-2,-110,-2,-110,-2,-109,home,Washington,203,-110,204,-110,203,-110,203,-110,203,-106,home
00:46:50,20140101,-240,-235,-215,-230,-210,away,Toronto,-5.5,-110,-5.5,-115,-5.5,-103,-5.5,-110,-5,-106,away,Indiana,190,-110,190,-105,190,-105,189.5,-110,190,-109,away
00:46:50,20140101,+200,+195,+195,+190,+188,home,Indiana,+5.5,-110,+5.5,-105,+5.5,-107,+5.5,-110,+5,-104,home,Toronto,190,-110,190,-115,190,-105,189.5,-110,190,-101,home
00:46:50,20140101,+185,+175,+190,+185,+182,away,Minnesota,+5,-110,+5.5,-115,+5,-105,+5,-110,+5,-105,away,New Orleans,211,-110,211,-115,211,-105,210.5,-110,211,-107,away
00:46:50,20140101,-215,-210,-210,-220,-203,home,New Orleans,-5,-110,-5.5,-105,-5,-105,-5,-110,-5,-105,home,Minnesota,211,-110,211,-105,211,-105,210.5,-110,211,-103,home
00:46:50,20140101,+390,+325,+400,,+399,away,Denver,+9,-110,+9,-110,+9,-103,+9,-110,+9,-102,away,Philadelphia,213,-110,213,-110,213,-105,213,-110,213.5,-101,away
00:46:50,20140101,-475,-450,-450,,-468,home,Philadelphia,-9,-110,-9,-110,-9,-107,-9,-110,-9,-108,home,Denver,213,-110,213,-110,213,-105,213,-110,213.5,-109,home
00:46:50,20140101,+500,,+530,+495,+546,away,L.A. Clippers,+10.5,-110,+10.5,-110,+10.5,-105,+10.5,-110,+10.5,-102,away,Charlotte,193,-110,193,-115,193,-109,193,-110,194,-109,away
00:46:50,20140101,-640,,-645,-795,-667,home,Charlotte,-10.5,-110,-10.5,-110,-10.5,-105,-10.5,-110,-10.5,-108,home,L.A. Clippers,193,-110,193,-105,193,-101,193,-110,194,-101,home
00:46:54,20140102,+110,,+118,+115,+118,away,Cleveland,+2,-110,+2,-110,+2,-105,+1.5,-110,+2,-104,away,Orlando,194,-110,195,-105,194.5,-102,194,-110,193.5,-103,away
00:46:54,20140102,-130,,-128,-135,-130,home,Orlando,-2,-110,-2,-110,-2,-105,-1.5,-110,-2,-106,home,Cleveland,194,-110,195,-115,194.5,-108,194,-110,193.5,-107,home
00:46:54,20140102,+190,+185,+185,+190,+195,away,Miami,+5.5,-110,+5.5,-110,+5,+100,+5.5,-110,+5.5,-107,away,Golden State,205,-110,205,-115,204.5,-117,205.5,-110,205,-105,away
00:46:54,20140102,-220,-225,-225,-230,-218,home,Golden State,-5.5,-110,-5.5,-110,-5,-120,-5.5,-110,-5.5,-103,home,Miami,205,-110,205,-105,204.5,-103,205.5,-110,205,-105,home
00:46:54,20140102,+170,+170,+185,+175,+182,away,Chicago,+5,-110,+5,-105,+5,-105,+5,-110,+5,-102,away,Boston,182.5,-110,183,-105,182.5,-105,182.5,-110,182.5,-107,away
00:46:54,20140102,-195,-200,-200,-210,-203,home,Boston,-5,-110,-5,-115,-5,-105,-5,-110,-5,-108,home,Chicago,182.5,-110,183,-115,182.5,-105,182.5,-110,182.5,-103,home
00:46:54,20140102,+720,,+750,+685,+736,away,Oklahoma City,+12,-105,+12.5,-110,+12,-107,+12,-110,+12,+100,away,Brooklyn,202,-110,202,-110,202,-105,202.5,-110,201.5,-103,away
00:46:54,20140102,-960,,-950,-1085,-950,home,Brooklyn,-12,-115,-12.5,-110,-12,-103,-12,-110,-12,-110,home,Oklahoma City,202,-110,202,-110,202,-105,202.5,-110,201.5,-107,home
00:46:54,20140102,+620,,+655,+605,+671,away,San Antonio,+11.5,-110,+12,-110,+11.5,-103,,,+11.5,-101,away,New York,202,-110,202,-115,202,-105,202.5,-110,201.5,-113,away
00:46:54,20140102,-800,,-830,-1005,-850,home,New York,-11.5,-110,-12,-110,-11.5,-107,,,-11.5,-109,home,San Antonio,202,-110,202,-105,202,-105,202.5,-110,201.5,+102,home
00:46:54,20140102,+195,+185,+185,+175,+167,away,Phoenix,+5.5,-110,+5.5,-105,+4.5,-105,+4.5,-110,+4.5,-105,away,Memphis,197,-110,197,-110,197,-101,196.5,-110,196.5,-105,away
00:46:54,20140102,-225,-225,-200,-210,-186,home,Memphis,-5.5,-110,-5.5,-115,-4.5,-105,-4.5,-110,-4.5,-105,home,Phoenix,197,-110,197,-110,197,-109,196.5,-110,196.5,-105,home
00:46:54,20140102,+190,+180,+200,+180,+195,away,Utah,+5.5,-110,+5.5,-105,+5.5,-102,+5.5,-110,+5.5,-101,away,Milwaukee,189.5,-110,190,-105,189.5,-105,190,-110,188.5,-105,away
00:46:54,20140102,-220,-220,-220,-215,-218,home,Milwaukee,-5.5,-110,-5.5,-115,-5.5,-108,-5.5,-110,-5.5,-109,home,Utah,189.5,-110,190,-115,189.5,-105,190,-110,188.5,-105,home
00:46:54,20140102,+620,,+615,+585,+638,away,Portland,+11.5,-110,+12,-110,+11.5,-105,+11.5,-110,+11.5,-103,away,Charlotte,200.5,-110,201,-105,200,-105,200.5,-110,200,-102,away
00:46:54,20140102,-800,,-770,-885,-800,home,Charlotte,-11.5,-110,-12,-110,-11.5,-105,-11.5,-110,-11.5,-107,home,Portland,200.5,-110,201,-115,200,-105,200.5,-110,200,-108,home
00:46:54,20140102,+365,+325,+340,+345,+338,away,Sacramento,+9,-110,+9,-110,+8.5,-105,+9,-110,+8.5,-103,away,Philadelphia,220,-110,220,-105,220,-107,220,-110,220,-103,away
00:46:54,20140102,-440,-450,-380,-450,-390,home,Philadelphia,-9,-110,-9,-110,-8.5,-105,-9,-110,-8.5,-107,home,Sacramento,220,-110,220,-115,220,-103,220,-110,220,-107,home
00:47:00,20140103,+140,+140,+145,+140,,away,Washington,+3.5,-110,+3,-105,+3.5,-108,+3.5,-110,+3.5,-107,away,Toronto,194,-110,194,-110,194,-105,193.5,-110,194,-108,away
00:47:00,20140103,-160,-160,-155,-160,-160,home,Toronto,-3.5,-110,-3,-115,-3.5,-102,-3.5,-110,-3.5,-103,home,Washington,194,-110,194,-110,194,-105,193.5,-110,194,-102,home
00:47:00,20140103,-145,-160,-150,-155,-152,away,Atlanta,-3,-110,-3.5,-105,-3,-104,-3,-110,-3,-105,away,Golden State,209,-110,209,-115,209,-102,209,-110,209,-108,away
00:47:00,20140103,+125,+140,+140,+135,+137,home,Golden State,+3,-110,+3.5,-115,+3,-106,+3,-110,+3,-105,home,Atlanta,209,-110,209,-105,209,-108,209,-110,209,-102,home
00:47:00,20140103,-165,-165,-160,-160,-161,away,Boston,-3.5,-110,-3.5,-115,-3.5,-108,-3.5,-110,-3.5,-105,away,New Orleans,201,-110,200,-115,201,-105,201,-110,201,-105,away
00:47:00,20140103,+145,+145,+150,+140,+145,home,New Orleans,+3.5,-110,+3.5,-105,+3.5,-102,+3.5,-110,+3.5,-105,home,Boston,201,-110,200,-105,201,-105,201,-110,201,-105,home
00:47:00,20140103,+590,,+570,+570,+600,away,Houston,+11.5,-110,+11.5,-115,+11.5,-105,+11.5,-110,+11.5,-105,away,New York,205.5,-110,206,-105,205.5,-102,206,-110,205,-101,away
00:47:00,20140103,-750,,-705,-870,-744,home,New York,-11.5,-110,-11.5,-105,-11.5,-105,-11.5,-110,-11.5,-105,home,Houston,205.5,-110,206,-115,205.5,-108,206,-110,205,-109,home
00:47:00,20140103,-135,-150,-130,-135,-129,away,Dallas,-2,-110,-3,-110,-2,-105,-2,-110,-2,-108,away,L.A. Clippers,206,-110,206,-110,207,-105,206.5,-110,207,-108,away
00:47:00,20140103,+115,+130,+120,+115,+117,home,L.A. Clippers,+2,-110,+3,-110,+2,-105,+2,-110,+2,-102,home,Dallas,206,-110,206,-110,207,-105,206.5,-110,207,-102,home
00:47:00,20140103,+165,+165,+165,+160,+165,away,Denver,+4.5,-110,+4.5,-110,+4.5,-102,+4.5,-110,+4.5,+100,away,Memphis,192.5,-110,192,-115,192.5,-104,193,-110,192.5,-101,away
00:47:00,20140103,-190,-190,-175,-185,-183,home,Memphis,-4.5,-110,-4.5,-110,-4.5,-108,-4.5,-110,-4.5,-110,home,Denver,192.5,-110,192,-105,192.5,-106,193,-110,192.5,-109,home
00:47:00,20140103,+130,+135,+135,+130,+133,away,L.A. Lakers,+3.5,-110,+3,-105,+3.5,-108,+3.5,-110,+3.5,-105,away,Utah,195.5,-110,195,-110,195.5,-102,195.5,-110,195,+100,away
00:47:00,20140103,-150,-155,-145,-150,-147,home,Utah,-3.5,-110,-3,-115,-3.5,-102,-3.5,-110,-3.5,-105,home,L.A. Lakers,195.5,-110,195,-110,195.5,-108,195.5,-110,195,-110,home
00:47:05,20140104,+650,,+640,+615,,away,Indiana,+12,-110,+12,-115,+12,-103,+12,-110,+11.5,-105,away,New Orleans,192,-110,192,-105,192,-105,191.5,-110,192,-106,away
00:47:05,20140104,-860,,-810,-1015,,home,New Orleans,-12,-110,-12,-105,-12,-107,-12,-110,-11.5,-105,home,Indiana,192,-110,192,-115,192,-105,191.5,-110,192,-104,home
00:47:05,20140104,-550,-650,-500,-635,-535,away,Orlando,-10,-110,-10,-115,-10,-103,-10,-110,-10,-102,away,Miami,199.5,-110,199,-115,199.5,-105,199,-110,199,-105,away
00:47:05,20140104,+445,+425,+435,+435,+450,home,Miami,+10,-110,+10,-105,+10,-107,+10,-110,+10,-108,home,Orlando,199.5,-110,199,-105,199.5,-105,199,-110,199,-105,home
00:47:05,20140104,+225,+220,+235,+225,+231,away,Brooklyn,+6.5,-110,+6.5,-110,+6.5,-105,+6.5,-110,+6.5,-105,away,Cleveland,192,-110,192,-110,,,191.5,-110,192,-105,away
00:47:05,20140104,-265,-260,-255,-275,-260,home,Cleveland,-6.5,-110,-6.5,-110,-6.5,-105,-6.5,-110,-6.5,-105,home,Brooklyn,192,-110,192,-110,192,-105,191.5,-110,192,-105,home
00:47:05,20140104,+180,+175,+175,+175,+184,away,Chicago,+5,-110,+5,-105,+5,-103,+5,-110,+5,+100,away,Atlanta,189.5,-110,189,-115,189.5,-105,189,-110,,,away
00:47:05,20140104,-210,-210,-190,-210,-205,home,Atlanta,-5,-110,-5,-115,-5,-107,-5,-110,-5,-110,home,Chicago,189.5,-110,189,-105,189.5,-105,189,-110,,,home
00:47:05,20140104,+110,,+115,+110,+111,away,Minnesota,+2,-110,+1.5,-110,+2,-107,+1.5,-110,+1.5,+102,away,Oklahoma City,206.5,-110,207,-110,207,-105,206.5,-110,207,-107,away
00:47:05,20140104,-130,,-125,-130,,home,Oklahoma City,-2,-110,-1.5,-110,-2,-103,-1.5,-110,-1.5,-113,home,Minnesota,206.5,-110,207,-110,207,-105,206.5,-110,207,-103,home
00:47:05,20140104,+395,+375,+400,+395,+404,away,San Antonio,+9.5,-110,+9.5,-110,+9.5,-104,+9.5,-110,+9.5,-105,away,L.A. Clippers,204.5,-110,205,-105,204.5,-105,204.5,-110,204.5,-107,away
00:47:05,20140104,-490,-550,-450,-505,-475,home,L.A. Clippers,-9.5,-110,-9.5,-110,-9.5,-106,-9.5,-110,-9.5,-105,home,San Antonio,204.5,-110,205,-115,204.5,-105,204.5,-110,204.5,-103,home
